customer_id,customer_name,gender,birthDate,Region,email
1,HbolMJ,False,1981-11-02,North,chTOA@example.com
2,UevblA,False,1989-07-12,West,XDXLh@example.com
3,bkHClE,True,1984-10-25,South,MwVpb@example.com
4,QaPKri,False,1988-04-13,West,WmJuu@example.com
5,XrefSF,False,1989-01-12,West,VUVFj@example.com
6,PLBYtC,True,1991-08-22,North,wTPhN@example.com
7,RGSEKc,True,1985-11-30,South,nvkpp@example.com
8,lpemfo,True,1994-04-10,North,WxjOR@example.com
9,HstknW,True,1995-06-15,North,eBKAJ@example.com
10,HFiLit,True,1989-05-08,West,ssyXx@example.com
11,ZHCJRO,False,1991-05-06,West,VbNeh@example.com
12,lbqnkX,False,1995-12-13,North,VOEtG@example.com
13,TqIuVx,False,1995-10-20,North,UTcRg@example.com
14,nmDnEU,False,1991-11-13,North,IyNAR@example.com
15,ulZAec,False,1984-10-07,North,eoZfE@example.com
16,fGPvdt,True,1980-09-24,South,QDJSg@example.com
17,ZBYSaL,False,1992-07-15,South,EALKA@example.com
18,JBnHfw,True,1982-08-30,North,DYhUH@example.com
19,xXTnAj,True,1989-03-01,East,iGLWP@example.com
20,VTpHFh,True,1988-04-15,South,GkdhT@example.com
21,NCOBaq,False,1980-11-25,North,BmfbA@example.com
22,bWTRpd,False,1982-08-22,North,uWpzj@example.com
23,TXezdN,False,1988-05-25,North,mSnFw@example.com
24,NgyCnT,False,1990-11-24,East,Ighbh@example.com
25,wlCLkq,False,1983-03-16,North,MmAKk@example.com
26,ZHwAgl,True,1993-03-23,South,ypfEt@example.com
27,rElldG,True,1986-11-04,South,ouPyQ@example.com
28,lVSdmI,True,1984-02-08,West,hoguE@example.com
29,lgWDyO,True,1980-01-18,West,bHIxV@example.com
30,Pjfwwy,True,1987-10-27,South,shTxa@example.com
31,LJZfur,True,1981-01-01,East,iASkU@example.com
32,Smjxvo,True,1992-11-07,East,BAjhI@example.com
33,mWxSCc,False,1990-02-22,West,DxShO@example.com
34,ZRYWSi,False,1988-06-17,South,IWdRz@example.com
35,zludtZ,True,1996-02-24,South,YFjKA@example.com
36,nOxvXZ,True,1997-02-01,North,InKEE@example.com
37,CLipYE,True,1994-04-10,East,ERdbM@example.com
38,CMcEAS,True,1990-02-02,North,mIzJq@example.com
39,iXejEJ,False,1983-05-05,North,mOVPf@example.com
40,mgUmEG,False,1982-01-01,North,TLtYV@example.com
41,vEBWkL,False,1993-12-26,North,dnbMw@example.com
42,muIpqN,False,1985-03-22,East,tGbjf@example.com
43,dxZZdl,True,1992-02-18,North,xgHCk@example.com
44,nWTTti,False,1999-12-18,West,zJlMw@example.com
45,RKFZIa,False,1986-03-22,South,BPebX@example.com
46,QpIWgg,True,1999-06-03,North,fbhaO@example.com
47,fCoFLk,False,1980-07-22,South,DSrJX@example.com
48,GnzVRe,True,1997-11-09,North,LBjkR@example.com
49,woaOHn,True,1992-08-01,South,AsUSP@example.com
50,MCwadT,True,1994-06-10,West,wGTDg@example.com
51,VCREhg,True,1984-04-25,West,AfzcC@example.com
52,qUPSUk,True,1992-12-08,South,bQpRu@example.com
53,mfOTvG,True,1991-09-14,East,sTioB@example.com
54,iWSYQT,False,1990-09-03,East,mAFqG@example.com
55,bMrWPS,True,1980-06-01,South,CUEWZ@example.com
56,QnOfTS,True,1991-12-05,West,HbvkU@example.com
57,lQxpPl,True,1986-03-02,North,dkQrN@example.com
58,bkrSYo,True,1998-08-10,West,VdzPD@example.com
59,HuZBWf,False,1999-11-28,South,FRPrd@example.com
60,YjYnfw,True,1981-11-24,North,vMWUy@example.com
61,LqFAuD,True,1987-03-09,South,gLfzl@example.com
62,nKaWBL,True,1981-01-03,North,syOTl@example.com
63,MIsdIr,False,1980-07-09,East,WbOkF@example.com
64,qSLpqv,False,1984-01-18,East,tJazu@example.com
65,upgvWJ,True,1999-04-13,North,tgKCg@example.com
66,UGpCao,True,1988-07-26,East,gGUsr@example.com
67,wEIywl,True,1982-07-28,North,Vmeav@example.com
68,yUPieA,True,1983-10-09,East,NQBcP@example.com
69,GrQNIl,True,1984-02-05,North,Tmccw@example.com
70,kbmySd,False,1982-01-04,North,oqFUZ@example.com
71,vGkKzm,True,1989-02-18,South,guIId@example.com
72,IaNOfw,False,1981-04-27,South,WkKQU@example.com
73,jXAcmS,True,1984-01-26,West,SxptC@example.com
74,xPIZEX,True,1981-04-24,East,TmUqC@example.com
75,UFLARC,False,1982-03-19,South,fsvXz@example.com
76,UMynmH,True,1989-04-04,West,eVRBp@example.com
77,NBGoeo,True,1988-06-03,South,CgLOb@example.com
78,oqChmK,True,1984-07-17,East,mwNXb@example.com
79,KdvCvk,True,1993-05-22,East,RoEpY@example.com
80,vVEKSN,True,1991-01-21,East,dStat@example.com
81,tasNSX,True,1991-04-25,North,xltIB@example.com
82,vMCFll,False,1986-01-15,East,IbNWV@example.com
83,wbrJvi,True,1990-06-04,West,NrRnN@example.com
84,ygGbuD,True,1981-06-20,East,lbLGT@example.com
85,bHhyct,True,1989-02-20,East,OWNPC@example.com
86,lqNtNR,False,1999-11-16,North,XWoZB@example.com
87,nebCZs,False,1992-06-04,North,wLNnX@example.com
88,HOHNXk,False,1982-04-11,South,yZmVo@example.com
89,bhgIDl,True,1992-06-10,South,JoZOp@example.com
90,KNiFMf,True,1982-10-25,East,Dconn@example.com
91,QYfbqJ,True,1989-02-14,South,HOapI@example.com
92,XuLdJG,True,1998-12-24,West,RSxaa@example.com
93,fOSFgZ,True,1984-07-24,West,bsHCv@example.com
94,OswtAr,True,1992-02-14,West,EeUCX@example.com
95,SQfXHR,True,1985-07-01,North,wnOnz@example.com
96,KwMYoQ,False,1992-06-13,North,ljTIm@example.com
97,BzwMnS,True,1980-01-09,West,IjAwq@example.com
98,ReTmyF,True,1993-12-03,East,ClXZY@example.com
99,tbSjlP,True,1983-10-03,South,aRSCc@example.com
100,rTKoaX,True,1990-10-25,North,mfAfe@example.com
101,eLzNJH,False,1985-08-17,East,kDRJd@example.com
102,zPelJp,False,1987-11-18,South,wobFs@example.com
103,EyBwMr,True,1993-02-14,South,YUtXp@example.com
104,Kongkg,False,1981-01-07,West,btphE@example.com
105,BNjlzL,True,1991-12-24,East,fkqLM@example.com
106,YBofkl,True,1986-09-28,East,OLWtE@example.com
107,jaBoYC,False,1995-08-31,West,IhNHX@example.com
108,KgTzTD,False,1983-02-18,West,XZDZG@example.com
109,ywjcWy,False,1986-04-08,West,MCgTP@example.com
110,QudGch,True,1993-09-09,West,FIBqk@example.com
111,DpZgNF,True,1987-02-20,East,DVrPY@example.com
112,PlBxxS,False,1994-03-31,South,mqYKx@example.com
113,ZpGFMX,True,1995-11-15,South,XveDd@example.com
114,kkIijd,False,1985-07-07,West,szlOl@example.com
115,axEpmK,True,1987-08-30,West,RZWmV@example.com
116,KxJWOG,False,1993-06-12,West,JIFPr@example.com
117,IWwCHV,True,1995-07-08,West,gvAhz@example.com
118,QdipMD,True,1980-01-17,South,Tkjxi@example.com
119,pgJKXA,False,1980-02-05,West,vNKyf@example.com
120,zecwqn,False,1983-11-22,North,TRbid@example.com
121,eYRDXZ,False,1995-08-15,West,ABuvg@example.com
122,IocNyH,True,1997-02-06,South,KmprQ@example.com
123,VjEHze,True,1981-10-26,North,rFfLd@example.com
124,srISrK,False,1981-09-27,South,VXVGM@example.com
125,oXQCxq,False,1998-08-30,East,wNKML@example.com
126,qYvAZI,True,1995-01-29,North,EQAha@example.com
127,CvjsNG,False,1998-03-25,South,EJxqj@example.com
128,NkCWwK,False,1993-06-26,North,LoOmz@example.com
129,gYFmiC,False,1983-12-22,East,cABAW@example.com
130,CeZVxg,False,1982-10-19,West,otNXc@example.com
131,RzLAoR,False,1984-04-29,South,XTMwo@example.com
132,YmCtVA,True,1984-12-19,North,Tqsio@example.com
133,TSoPvW,False,1997-01-03,North,zliWn@example.com
134,AQopEZ,False,1995-11-27,East,Ffmoe@example.com
135,zhCrCC,False,1982-01-07,East,CAiFc@example.com
136,xqjKDm,True,1986-10-19,South,UBkzQ@example.com
137,OcMKQu,True,1985-04-03,East,toXwx@example.com
138,IQZzbA,False,1980-10-28,West,gxVLV@example.com
139,ETTwBx,False,1995-10-16,South,gUzeh@example.com
140,LvIiyY,True,1984-09-08,West,oIYPM@example.com
141,rKHSSS,True,1998-06-01,South,ldirx@example.com
142,tqLNTb,False,1982-06-27,South,MIdJU@example.com
143,dGVZMw,True,1991-03-22,South,bfKBj@example.com
144,fGTxKU,False,1992-05-17,North,DRGXG@example.com
145,cPpthB,False,1996-07-27,South,mETlk@example.com
146,DPieTG,True,1995-04-22,North,yzjzg@example.com
147,mVhxnn,True,1983-12-08,South,HeALl@example.com
148,aPUJiw,True,1982-11-16,West,wzFKc@example.com
149,rEHwnR,False,1982-11-09,North,JFGms@example.com
150,kuzmDD,False,1992-10-12,West,BXTRT@example.com
151,ZpYIoD,True,1991-09-25,East,IzGFC@example.com
152,JMcFzV,True,1986-02-25,North,plYUN@example.com
153,oPFsHG,True,1995-03-17,North,vxmwj@example.com
154,JLIRGU,False,1995-03-15,North,XIsug@example.com
155,HqwEMe,True,1985-09-02,West,TRSFJ@example.com
156,pMjgCY,False,1999-10-22,South,bnlSv@example.com
157,BVRnQz,True,1989-07-30,North,DqJvQ@example.com
158,PMrfYh,False,1994-07-31,South,wnczl@example.com
159,YSLYYP,True,1987-03-31,East,HcxlT@example.com
